STN,YEAR,MON,DAY,HR,O3(PPB)
ARH,2015,1,10,9,14.37
ARH,2015,1,10,10,14.69
ARH,2015,1,10,11,14.95
ARH,2015,1,10,12,14.93
ARH,2015,1,10,13,15.02
ARH,2015,1,10,14,14.98
ARH,2015,1,10,15,15.31
ARH,2015,1,10,16,15.57
ARH,2015,1,10,17,15.33
ARH,2015,1,10,18,15.26
ARH,2015,1,10,19,15
ARH,2015,1,10,20,14.77
ARH,2015,1,10,21,14.55
ARH,2015,1,10,22,14.37
ARH,2015,1,10,23,14.24
ARH,2015,1,11,0,14.11
ARH,2015,1,11,1,14.25
ARH,2015,1,11,2,14.19
ARH,2015,1,11,3,14.84
ARH,2015,1,11,4,15.46
ARH,2015,1,11,5,14.68
ARH,2015,1,11,6,14.72
ARH,2015,1,11,7,16.02
ARH,2015,1,11,8,16
ARH,2015,1,11,9,15.06
ARH,2015,1,11,10,15.44
ARH,2015,1,11,11,14.97
ARH,2015,1,11,12,14.88
ARH,2015,1,11,13,15.16
ARH,2015,1,11,14,15.28
ARH,2015,1,11,15,15.5
ARH,2015,1,11,16,15.11
ARH,2015,1,11,17,15.03
ARH,2015,1,11,18,14.31
ARH,2015,1,11,19,13.57
ARH,2015,1,11,20,13.4
ARH,2015,1,11,21,13.43
ARH,2015,1,11,22,13.66
ARH,2015,1,11,23,13.73
ARH,2015,1,12,0,14.22
ARH,2015,1,12,1,14.53
ARH,2015,1,12,2,9999.99
ARH,2015,1,12,3,9999.99
ARH,2015,1,12,4,9999.99
ARH,2015,1,12,5,9999.99
ARH,2015,1,12,6,15.07
ARH,2015,1,12,7,13.61
ARH,2015,1,12,8,13.3
ARH,2015,1,12,9,14.68
ARH,2015,1,12,10,15.45
ARH,2015,1,12,11,15
ARH,2015,1,12,12,14.56
ARH,2015,1,12,13,14.26
ARH,2015,1,12,14,14.09
ARH,2015,1,12,15,13.89
ARH,2015,1,12,16,13.77
ARH,2015,1,12,17,13.59
ARH,2015,1,12,18,13.75
ARH,2015,1,12,19,14.6
ARH,2015,1,12,20,15.27
ARH,2015,1,12,21,15.6
ARH,2015,1,12,22,15.55
ARH,2015,1,12,23,15.6
ARH,2015,1,13,0,15.68
ARH,2015,1,13,1,15.49
ARH,2015,1,13,2,15.51
ARH,2015,1,13,3,15.44
ARH,2015,1,13,4,15.33
ARH,2015,1,13,5,15.19
ARH,2015,1,13,6,15.27
ARH,2015,1,13,7,15.33
ARH,2015,1,13,8,15.21
ARH,2015,1,13,9,15.09
ARH,2015,1,13,10,15.18
ARH,2015,1,13,11,15.69
ARH,2015,1,13,12,18.72
ARH,2015,1,13,13,20.66
ARH,2015,1,13,14,18.25
ARH,2015,1,13,15,16.22
ARH,2015,1,13,16,15.85
ARH,2015,1,13,17,20.18
ARH,2015,1,13,18,20.54
ARH,2015,1,13,19,20.6
ARH,2015,1,13,20,19.61
ARH,2015,1,13,21,16.68
ARH,2015,1,13,22,14.58
ARH,2015,1,13,23,14.15
ARH,2015,1,14,0,14.27
ARH,2015,1,14,1,14.4
ARH,2015,1,14,2,14.37
ARH,2015,1,14,3,14.76
ARH,2015,1,14,4,14.82
ARH,2015,1,14,5,14.59
ARH,2015,1,14,6,14.64
ARH,2015,1,14,7,14.9
ARH,2015,1,14,8,13.97
ARH,2015,1,14,9,14.24
ARH,2015,1,14,10,14.26
ARH,2015,1,14,11,13.61
ARH,2015,1,14,12,13.62
ARH,2015,1,14,13,13.37
ARH,2015,1,14,14,12.93
ARH,2015,1,14,15,12.68
ARH,2015,1,14,16,12.41
ARH,2015,1,14,17,12.24
ARH,2015,1,14,18,12.13
ARH,2015,1,14,19,11.92
ARH,2015,1,14,20,11.77
ARH,2015,1,14,21,11.48
ARH,2015,1,14,22,11.44
ARH,2015,1,14,23,11.44
ARH,2015,1,15,0,11.14
ARH,2015,1,15,1,10.91
ARH,2015,1,15,2,10.65
ARH,2015,1,15,3,11.04
ARH,2015,1,15,4,10.84
ARH,2015,1,15,5,11
ARH,2015,1,15,6,10.64
ARH,2015,1,15,7,10.65
ARH,2015,1,15,8,10.93
ARH,2015,1,15,9,11.38
ARH,2015,1,15,10,11.63
ARH,2015,1,15,11,11.62
ARH,2015,1,15,12,11.85
ARH,2015,1,15,13,11.71
ARH,2015,1,15,14,12.18
ARH,2015,1,15,15,12.44
ARH,2015,1,15,16,12.23
ARH,2015,1,15,17,12.12
ARH,2015,1,15,18,11.72
ARH,2015,1,15,19,12.07
